$$CostBook.Name$Product.StockKeepingUnit$CurrencyIsoCode,Cost,CostBook.Name,CurrencyIsoCode,Description,EffectiveFrom,EffectiveTo,Product.StockKeepingUnit
Standard Cost Book;VEL-STP-DOOR-V;USD,9240.00,Standard Cost Book,USD,,2024-01-01T00:00:00.000+0000,,VEL-STP-DOOR-V
Standard Cost Book;VEL-STP-OPT-DRAIN;USD,4620.00,Standard Cost Book,USD,,2024-01-01T00:00:00.000+0000,,VEL-STP-OPT-DRAIN
Standard Cost Book;VEL-STP-OPT-GMP;USD,11520.00,Standard Cost Book,USD,,2024-01-01T00:00:00.000+0000,,VEL-STP-OPT-GMP
Standard Cost Book;VEL-STP-CERT-PVC;USD,3770.00,Standard Cost Book,USD,,2024-01-01T00:00:00.000+0000,,VEL-STP-CERT-PVC
Standard Cost Book;VEL-STP-LOAD-CART;USD,2301.00,Standard Cost Book,USD,,2024-01-01T00:00:00.000+0000,,VEL-STP-LOAD-CART
Standard Cost Book;VEL-STP-LOAD-TRAY;USD,1187.50,Standard Cost Book,USD,,2024-01-01T00:00:00.000+0000,,VEL-STP-LOAD-TRAY
Standard Cost Book;VEL-STP-LOAD-RACK;USD,2993.00,Standard Cost Book,USD,,2024-01-01T00:00:00.000+0000,,VEL-STP-LOAD-RACK
Standard Cost Book;VEL-STP-DOC-VAL;USD,4680.00,Standard Cost Book,USD,,2024-01-01T00:00:00.000+0000,,VEL-STP-DOC-VAL
Standard Cost Book;VEL-STP-SVC-INST;USD,9750.00,Standard Cost Book,USD,,2024-01-01T00:00:00.000+0000,,VEL-STP-SVC-INST
Standard Cost Book;VEL-STP-SRV-MAINT-STD;USD,1155.00,Standard Cost Book,USD,,2024-01-01T00:00:00.000+0000,,VEL-STP-SRV-MAINT-STD
Standard Cost Book;VEL-STP-SRV-MAINT-PREM;USD,1666.00,Standard Cost Book,USD,,2024-01-01T00:00:00.000+0000,,VEL-STP-SRV-MAINT-PREM
