$$ChildProductClassification.Code$ChildProduct.StockKeepingUnit$ParentProduct.StockKeepingUnit$ProductComponentGroup.Code$ProductRelationshipType.Name,ChildProduct.StockKeepingUnit,ChildProductClassification.Code,ChildProductRole,DoesBundlePriceIncludeChild,IsComponentRequired,IsDefaultComponent,IsQuantityEditable,MaxQuantity,MinQuantity,ParentProduct.StockKeepingUnit,ParentProductRole,ProductComponentGroup.Code,ProductRelationshipType.Name,Quantity,QuantityScaleMethod,QuoteVisibility,Sequence,UnitOfMeasure.UnitCode
;VEL-SW-PACK-MGR;VEL-PACK-G1-BDL;PCG-VEL-PKG-SW;Bundle to Bundle Component Relationship,VEL-SW-PACK-MGR,,BundleComponent,false,false,false,true,1,,VEL-PACK-G1-BDL,Bundle,PCG-VEL-PKG-SW,Bundle to Bundle Component Relationship,1,,Always,10,
;VEL-LSR-1530;VEL-LSR-BDL;PCG-VEL-LSR-FRAME;Bundle to Bundle Component Relationship,VEL-LSR-1530,,BundleComponent,false,false,false,true,1,,VEL-LSR-BDL,Bundle,PCG-VEL-LSR-FRAME,Bundle to Bundle Component Relationship,1,,Always,10,
;VEL-LSR-2040;VEL-LSR-BDL;PCG-VEL-LSR-FRAME;Bundle to Bundle Component Relationship,VEL-LSR-2040,,BundleComponent,false,false,false,true,1,,VEL-LSR-BDL,Bundle,PCG-VEL-LSR-FRAME,Bundle to Bundle Component Relationship,1,,Always,20,
;VEL-LSR-2060;VEL-LSR-BDL;PCG-VEL-LSR-FRAME;Bundle to Bundle Component Relationship,VEL-LSR-2060,,BundleComponent,false,false,false,true,1,,VEL-LSR-BDL,Bundle,PCG-VEL-LSR-FRAME,Bundle to Bundle Component Relationship,1,,Always,30,
;VEL-LSR-SRC-4KW;VEL-LSR-BDL;PCG-VEL-LSR-POWER;Bundle to Bundle Component Relationship,VEL-LSR-SRC-4KW,,BundleComponent,false,false,false,true,1,,VEL-LSR-BDL,Bundle,PCG-VEL-LSR-POWER,Bundle to Bundle Component Relationship,1,,Always,10,
;VEL-LSR-SRC-10KW;VEL-LSR-BDL;PCG-VEL-LSR-POWER;Bundle to Bundle Component Relationship,VEL-LSR-SRC-10KW,,BundleComponent,false,false,false,true,1,,VEL-LSR-BDL,Bundle,PCG-VEL-LSR-POWER,Bundle to Bundle Component Relationship,1,,Always,20,
;VEL-LSR-SRC-15KW;VEL-LSR-BDL;PCG-VEL-LSR-POWER;Bundle to Bundle Component Relationship,VEL-LSR-SRC-15KW,,BundleComponent,false,false,false,true,1,,VEL-LSR-BDL,Bundle,PCG-VEL-LSR-POWER,Bundle to Bundle Component Relationship,1,,Always,30,
;VEL-LSR-AUTO-CS;VEL-LSR-BDL;PCG-VEL-LSR-AUTO;Bundle to Bundle Component Relationship,VEL-LSR-AUTO-CS,,BundleComponent,false,false,false,true,1,,VEL-LSR-BDL,Bundle,PCG-VEL-LSR-AUTO,Bundle to Bundle Component Relationship,1,,Always,10,
;VEL-LSR-AUTO-LU;VEL-LSR-BDL;PCG-VEL-LSR-AUTO;Bundle to Bundle Component Relationship,VEL-LSR-AUTO-LU,,BundleComponent,false,false,false,true,1,,VEL-LSR-BDL,Bundle,PCG-VEL-LSR-AUTO,Bundle to Bundle Component Relationship,1,,Always,20,
;VEL-LSR-AUTO-SORT;VEL-LSR-BDL;PCG-VEL-LSR-AUTO;Bundle to Bundle Component Relationship,VEL-LSR-AUTO-SORT,,BundleComponent,false,false,false,true,1,,VEL-LSR-BDL,Bundle,PCG-VEL-LSR-AUTO,Bundle to Bundle Component Relationship,1,,Always,30,
;VEL-CUT-GAS;VEL-LSR-BDL;PCG-VEL-LSR-GAS;Bundle to Bundle Component Relationship,VEL-CUT-GAS,,BundleComponent,false,false,false,true,1,,VEL-LSR-BDL,Bundle,PCG-VEL-LSR-GAS,Bundle to Bundle Component Relationship,1,,Always,10,
;VEL-CUT-GAS-O2;VEL-LSR-BDL;PCG-VEL-LSR-GAS;Bundle to Bundle Component Relationship,VEL-CUT-GAS-O2,,BundleComponent,false,false,false,true,1,,VEL-LSR-BDL,Bundle,PCG-VEL-LSR-GAS,Bundle to Bundle Component Relationship,1,,Always,20,
;VEL-CUT-GAS-AIR;VEL-LSR-BDL;PCG-VEL-LSR-GAS;Bundle to Bundle Component Relationship,VEL-CUT-GAS-AIR,,BundleComponent,false,false,false,true,1,,VEL-LSR-BDL,Bundle,PCG-VEL-LSR-GAS,Bundle to Bundle Component Relationship,1,,Always,30,
;VEL-SRV-INSTALL-LSR;VEL-LSR-BDL;PCG-VEL-LSR-SERVICES;Bundle to Bundle Component Relationship,VEL-SRV-INSTALL-LSR,,BundleComponent,false,false,false,true,1,,VEL-LSR-BDL,Bundle,PCG-VEL-LSR-SERVICES,Bundle to Bundle Component Relationship,1,,Always,10,
;VEL-SRV-MAINT-LSR;VEL-LSR-BDL;PCG-VEL-LSR-SERVICES;Bundle to Bundle Component Relationship,VEL-SRV-MAINT-LSR,,BundleComponent,false,false,false,true,1,,VEL-LSR-BDL,Bundle,PCG-VEL-LSR-SERVICES,Bundle to Bundle Component Relationship,1,,Always,20,
;VEL-SRV-WARRANTY-LSR;VEL-LSR-BDL;PCG-VEL-LSR-SERVICES;Bundle to Bundle Component Relationship,VEL-SRV-WARRANTY-LSR,,BundleComponent,false,false,false,true,1,,VEL-LSR-BDL,Bundle,PCG-VEL-LSR-SERVICES,Bundle to Bundle Component Relationship,1,,Always,30,
;VEL-SW-LSR-CAD;VEL-LSR-BDL;PCG-VEL-LSR-SW;Bundle to Bundle Component Relationship,VEL-SW-LSR-CAD,,BundleComponent,false,false,false,true,1,,VEL-LSR-BDL,Bundle,PCG-VEL-LSR-SW,Bundle to Bundle Component Relationship,1,,Always,10,
;VEL-STP-CTRL;VEL-STP-BDL;PCG-VEL-STP-CTRL;Bundle to Bundle Component Relationship,VEL-STP-CTRL,,BundleComponent,false,true,true,true,1,1,VEL-STP-BDL,Bundle,PCG-VEL-STP-CTRL,Bundle to Bundle Component Relationship,1,,Always,10,
;VEL-STP-CTRL-SW;VEL-STP-BDL;PCG-VEL-STP-CTRL;Bundle to Bundle Component Relationship,VEL-STP-CTRL-SW,,BundleComponent,false,true,true,true,1,1,VEL-STP-BDL,Bundle,PCG-VEL-STP-CTRL,Bundle to Bundle Component Relationship,1,,Always,20,
;VEL-STP-CTRL-FMM;VEL-STP-BDL;PCG-VEL-STP-CTRL;Bundle to Bundle Component Relationship,VEL-STP-CTRL-FMM,,BundleComponent,false,false,false,true,1,1,VEL-STP-BDL,Bundle,PCG-VEL-STP-CTRL,Bundle to Bundle Component Relationship,1,,Always,30,
;VEL-STP-DOOR-H;VEL-STP-BDL;PCG-VEL-STP-DOORS;Bundle to Bundle Component Relationship,VEL-STP-DOOR-H,,BundleComponent,false,false,true,true,2,1,VEL-STP-BDL,Bundle,PCG-VEL-STP-DOORS,Bundle to Bundle Component Relationship,1,,Always,10,
;VEL-STP-DOOR-V;VEL-STP-BDL;PCG-VEL-STP-DOORS;Bundle to Bundle Component Relationship,VEL-STP-DOOR-V,,BundleComponent,false,false,false,true,2,1,VEL-STP-BDL,Bundle,PCG-VEL-STP-DOORS,Bundle to Bundle Component Relationship,1,,Always,20,
;VEL-STP-OPT-DRAIN;VEL-STP-BDL;PCG-VEL-STP-OPT;Bundle to Bundle Component Relationship,VEL-STP-OPT-DRAIN,,BundleComponent,false,false,false,true,1,1,VEL-STP-BDL,Bundle,PCG-VEL-STP-OPT,Bundle to Bundle Component Relationship,1,,Always,10,
;VEL-STP-OPT-GMP;VEL-STP-BDL;PCG-VEL-STP-OPT;Bundle to Bundle Component Relationship,VEL-STP-OPT-GMP,,BundleComponent,false,false,false,true,1,1,VEL-STP-BDL,Bundle,PCG-VEL-STP-OPT,Bundle to Bundle Component Relationship,1,,Always,20,
;VEL-STP-CERT-PVC;VEL-STP-BDL;PCG-VEL-STP-CERT;Bundle to Bundle Component Relationship,VEL-STP-CERT-PVC,,BundleComponent,false,false,false,true,1,1,VEL-STP-BDL,Bundle,PCG-VEL-STP-CERT,Bundle to Bundle Component Relationship,1,,Always,10,
;VEL-STP-LOAD-CART;VEL-STP-BDL;PCG-VEL-STP-LOAD;Bundle to Bundle Component Relationship,VEL-STP-LOAD-CART,,BundleComponent,false,false,false,true,5,1,VEL-STP-BDL,Bundle,PCG-VEL-STP-LOAD,Bundle to Bundle Component Relationship,1,,Always,10,
;VEL-STP-LOAD-TRAY;VEL-STP-BDL;PCG-VEL-STP-LOAD;Bundle to Bundle Component Relationship,VEL-STP-LOAD-TRAY,,BundleComponent,false,false,false,true,20,1,VEL-STP-BDL,Bundle,PCG-VEL-STP-LOAD,Bundle to Bundle Component Relationship,1,,Always,20,
;VEL-STP-LOAD-RACK;VEL-STP-BDL;PCG-VEL-STP-LOAD;Bundle to Bundle Component Relationship,VEL-STP-LOAD-RACK,,BundleComponent,false,false,false,true,5,1,VEL-STP-BDL,Bundle,PCG-VEL-STP-LOAD,Bundle to Bundle Component Relationship,1,,Always,30,
;VEL-STP-DOC-VAL;VEL-STP-BDL;PCG-VEL-STP-SVC;Bundle to Bundle Component Relationship,VEL-STP-DOC-VAL,,BundleComponent,false,false,false,true,1,1,VEL-STP-BDL,Bundle,PCG-VEL-STP-SVC,Bundle to Bundle Component Relationship,1,,Always,10,
;VEL-STP-SVC-INST;VEL-STP-BDL;PCG-VEL-STP-SVC;Bundle to Bundle Component Relationship,VEL-STP-SVC-INST,,BundleComponent,false,true,true,false,,,VEL-STP-BDL,Bundle,PCG-VEL-STP-SVC,Bundle to Bundle Component Relationship,1,,Always,20,
;VEL-STP-SRV-MAINT-STD;VEL-STP-BDL;PCG-VEL-STP-SVC;Bundle to Bundle Component Relationship,VEL-STP-SRV-MAINT-STD,,BundleComponent,false,false,false,true,1,1,VEL-STP-BDL,Bundle,PCG-VEL-STP-SVC,Bundle to Bundle Component Relationship,1,,Always,30,
;VEL-STP-SRV-MAINT-PREM;VEL-STP-BDL;PCG-VEL-STP-SVC;Bundle to Bundle Component Relationship,VEL-STP-SRV-MAINT-PREM,,BundleComponent,false,false,false,true,1,1,VEL-STP-BDL,Bundle,PCG-VEL-STP-SVC,Bundle to Bundle Component Relationship,1,,Always,40,
