"Id","Cost","CurrencyIsoCode","Description","EffectiveFrom","EffectiveTo","ProductId","CostBookId","Errors"
"22gg7000000As1IAAS","7920","USD","#N/A","2024-01-01T00:00:00.000+0000","#N/A","01tg700000nfFdJAAU","29gg70000000uQPAAY","#N/A"
"22gg7000000As1JAAS","9240","USD","#N/A","2024-01-01T00:00:00.000+0000","#N/A","01tg700000nfFdKAAU","29gg70000000uQPAAY","#N/A"
"22gg7000000As1KAAS","4620","USD","#N/A","2024-01-01T00:00:00.000+0000","#N/A","01tg700000nfFdLAAU","29gg70000000uQPAAY","#N/A"
"22gg7000000As1LAAS","11520","USD","#N/A","2024-01-01T00:00:00.000+0000","#N/A","01tg700000nfFdMAAU","29gg70000000uQPAAY","#N/A"
"22gg7000000As1MAAS","3770","USD","#N/A","2024-01-01T00:00:00.000+0000","#N/A","01tg700000nfFdNAAU","29gg70000000uQPAAY","#N/A"
"22gg7000000As1NAAS","2301","USD","#N/A","2024-01-01T00:00:00.000+0000","#N/A","01tg700000nfFdOAAU","29gg70000000uQPAAY","#N/A"
"22gg7000000As1OAAS","1187.5","USD","#N/A","2024-01-01T00:00:00.000+0000","#N/A","01tg700000nfFdPAAU","29gg70000000uQPAAY","#N/A"
"22gg7000000As1PAAS","2993","USD","#N/A","2024-01-01T00:00:00.000+0000","#N/A","01tg700000nfFdQAAU","29gg70000000uQPAAY","#N/A"
"22gg7000000As1QAAS","4680","USD","#N/A","2024-01-01T00:00:00.000+0000","#N/A","01tg700000nfFdRAAU","29gg70000000uQPAAY","#N/A"
"22gg7000000As1RAAS","9750","USD","#N/A","2024-01-01T00:00:00.000+0000","#N/A","01tg700000nfFdSAAU","29gg70000000uQPAAY","#N/A"
"22gg7000000As1SAAS","1155","USD","#N/A","2024-01-01T00:00:00.000+0000","#N/A","01tg700000nfFdTAAU","29gg70000000uQPAAY","#N/A"
"22gg7000000As1TAAS","1666","USD","#N/A","2024-01-01T00:00:00.000+0000","#N/A","01tg700000nfFdUAAU","29gg70000000uQPAAY","#N/A"
